",""text"",""favorited"",""favoriteCount"",""replyToSN"",""created"",""truncated"",""replyToSID"",""id"",""replyToUID"",""statusSource"",""screenName"",""retweetCount"",""isRetweet"",""retweeted"",""longitude"",""latitude""";;;
"51,""When I did it, I knew for sure, that I would be maligned and taken down and thats exactly what happened. https://t.co/7o02qK6pUV"",FALSE,1,NA,""11/29/17 23:53"",TRUE,NA,9.36e+17,NA,""<a href=""""http://snappytv.com"""" rel=""""nofollow"""">SnappyTV.com</a>"",""cnntoday"",3,FALSE,FALSE,NA,NA";;;
"52,""I wish, it was a joke. But yes, it aint! #metoo https://t.co/vtwhhLzmb7"",FALSE,8,NA,""11/29/17 23:53"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""javerriaawan"",3,FALSE,FALSE,NA,NA";;;
"53,""Yet #fakemedia &amp";" #Hollywood wants to use #SmokeAndMirrors by futilely attempting to make this #political @MLauer IS https://t.co/QZIdBWlwS0"",FALSE,1,NA,""11/29/17 23:52"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""jicReneeMerling"",3,FALSE,FALSE,NA,NA";;
"54,""It's team bonding";;;
Everyone does it;;;
Don't be such a loser;;;
Take off your clothes and do it;;;
"#metoo"",FALSE,1,NA,""11/29/17 23:52"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""CDNHero"",0,FALSE,FALSE,NA,NA";;;
"55,""@Alyssa_Milano It took me almost 30 years and hearing a presidential candidate detailing the exact type of attack I https://t.co/KFlN2hSAcR"",FALSE,0,""Alyssa_Milano"",""11/29/17 23:52"",TRUE,9.36e+17,9.36e+17,26642006,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""KarenCallesoe"",0,FALSE,FALSE,NA,NA";;;
"56,""@realDonaldTrump You should be worried about your own behavior around women instead of gloating, you moron. #MeToo will be your undoing."",FALSE,1,""realDonaldTrump"",""11/29/17 23:52"",FALSE,9.36e+17,9.36e+17,25073877,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""TamDawg79"",0,FALSE,FALSE,NA,NA";;;
"57,""@Soros_Antifa @KimJung59597672 @MaineAntifa @AntifaFree @MtEverestAntifa @LagBeachAntifa5 @AntifaMidwest https://t.co/iKc1jfeCrv"",FALSE,5,""Soros_Antifa"",""11/29/17 23:52"",TRUE,9.36e+17,9.36e+17,4725731773,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",""IE_ANTIFA"",1,FALSE,FALSE,NA,NA";;;
"58,""@GeraldoRivera @MLauer As the co-host of NBCs Today, Matt Lauer once gave a colleague a sex toy as a present. he https://t.co/qXOFKPwJqc"",FALSE,0,""GeraldoRivera"",""11/29/17 23:52"",TRUE,9.36e+17,9.36e+17,246500501,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""stcks4"",0,FALSE,FALSE,NA,NA";;;
"59,""Sadly, it seems that most men in power abuse it. When those who are in power don't abuse it, they are wrongly consi https://t.co/nC4ZFp1Gxb"",FALSE,0,NA,""11/29/17 23:52"",TRUE,NA,9.36e+17,NA,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Lite</a>"",""krakmcr"",0,FALSE,FALSE,NA,NA";;;
"60,""#MeToo is powerful but will fail unless we do more: feminist Stephanie Coontz on backlash #SmartNews  https://t.co/XzJObzlPaE"",FALSE,0,NA,""11/29/17 23:51"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",""TeeMichelle57"",0,FALSE,FALSE,NA,NA";;;
"61,""Given the sexual harassment pandemic, I have to wonder if anyone at #CNN like @DonLemon or @AndersonCooper is bitin https://t.co/AXdY71ElkC"",FALSE,1,NA,""11/29/17 23:51"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""JerusalemFury"",0,FALSE,FALSE,NA,NA";;;
"62,""If #MeToo wins @TIMEs Person of the Year, I think we need to bring back the reflective mirror front cover."",FALSE,1,NA,""11/29/17 23:51"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""downrightdpad"",0,FALSE,FALSE,NA,NA";;;
"63,""A MUST READ Roy Moore co-authored legal course that argues women should not be permitted to run for office https://t.co/6FEZ08xV2I"",FALSE,1,NA,""11/29/17 23:51"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""BaptizeFeminism"",1,FALSE,FALSE,NA,NA";;;
"64,""Lets continue to speak out! #metoo  https://t.co/VT5eXSQA7V"",FALSE,0,NA,""11/29/17 23:51"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""CCWC_"",0,FALSE,FALSE,NA,NA";;;
"65,""@adelesammarco ";;;
"more should be coming forward atevery news outlet #stopsexualharassment #zerotolerance #MeToo #changemanagement #changelives"",FALSE,0,""adelesammarco"",""11/29/17 23:50"",FALSE,9.36e+17,9.36e+17,167498808,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""adelesammarco"",0,FALSE,FALSE,NA,NA";;;
"66,""#MeToo: How is this possible? Lauer had a button under his desk that could lock the door to his secluded office fr https://t.co/RImmMfFMb6"",FALSE,0,NA,""11/29/17 23:50"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""NathaliaVasquez"",0,FALSE,FALSE,NA,NA";;;
"67,""#MeToo Remember untouchable boy rapist Barney Frank? That's some FUBAR memories of inaction by our government as bo https://t.co/hM6sJMV61H"",FALSE,0,NA,""11/29/17 23:50"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""TeutaIllyri"",0,FALSE,FALSE,NA,NA";;;
"68,""@SebGorka I think Democrats are starting to regret the #MeToo  campaign."",FALSE,0,""SebGorka"",""11/29/17 23:50"",FALSE,9.36e+17,9.36e+17,2417586104,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""shnikies78"",0,FALSE,FALSE,NA,NA";;;
"69,""@heierup Is what @GeraldoRivera saying is that any women who come forward from his time as the host of the https://t.co/qIqmjY2Ufa"",FALSE,5,""heierup"",""11/29/17 23:50"",TRUE,9.36e+17,9.36e+17,1957800594,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""ctlss"",0,FALSE,FALSE,NA,NA";;;
"70,""Every male is threatened by sexual harassment charges except Trump. 12 accusers and not even an investigation. SAD #METOO"",FALSE,0,NA,""11/29/17 23:50"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""Imlooney2M"",0,FALSE,FALSE,NA,NA";;;
"71,""You cant say you are supporting a victim of sex abuse/ rape if you are also supporting the perpetrator. This isnt https://t.co/KTFA2f1Z49"",FALSE,13,NA,""11/29/17 23:50"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""brooketaggart"",1,FALSE,FALSE,NA,NA";;;
"72,""I have known people who talks about gender discrimination and acts like they do not care. #Metoo #16DaysOfActivism https://t.co/6EA58xWfVf"",FALSE,15,NA,""11/29/17 23:50"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""javerriaawan"",5,FALSE,FALSE,NA,NA";;;
"73,""Anyone else think maybe the @TIME person of the year should be those who bravely came forward this year?  The #metoo people?"",FALSE,0,NA,""11/29/17 23:50"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""wendy08724"",0,FALSE,FALSE,NA,NA";;;
"74,""@cnn @wolfblitzer Glad to see women vocalizing their inequality with #MeToo and while Congress can deny,these women https://t.co/KuMWHCrku7"",FALSE,0,""CNN"",""11/29/17 23:50"",TRUE,NA,9.36e+17,759251,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""icarusfactor"",0,FALSE,FALSE,NA,NA";;;
"75,""Women who have been sexual assaulted/harassed by illegitimate and bigoted should come forward. Stop  the madness. Y https://t.co/x2t2pWSqak"",FALSE,0,NA,""11/29/17 23:49"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""Doris49360681"",0,FALSE,FALSE,NA,NA";;;
"76,""@CoachTDavis @brendatracy24 (Im a retired 25 year flight attendant &amp";" boy oh boy can I tell stories... commercial a https://t.co/fhwBPSKDA9"",FALSE,2,""CoachTDavis"",""11/29/17 23:49"",TRUE,9.36e+17,9.36e+17,217211454,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""CamRooMom"",0,FALSE,FALSE,NA,NA";;
